	dims=25 task=gender kernel=rbf gamma=0.0001 C=0.0001	dims=25 task=gender kernel=rbf gamma=0.0001 C=0.001	dims=25 task=gender kernel=rbf gamma=0.0001 C=1	dims=25 task=gender kernel=rbf gamma=0.0001 C=1000.0	dims=25 task=gender kernel=rbf gamma=0.0001 C=10000.0	dims=25 task=gender kernel=rbf gamma=0.0001 C=100000.0	dims=25 task=gender kernel=rbf gamma=0.0001 C=1e-05	dims=25 task=gender kernel=rbf gamma=0.001 C=0.0001	dims=25 task=gender kernel=rbf gamma=0.001 C=0.001	dims=25 task=gender kernel=rbf gamma=0.001 C=1	dims=25 task=gender kernel=rbf gamma=0.001 C=1000.0	dims=25 task=gender kernel=rbf gamma=0.001 C=10000.0	dims=25 task=gender kernel=rbf gamma=0.001 C=100000.0	dims=25 task=gender kernel=rbf gamma=0.001 C=1e-05	dims=25 task=gender kernel=rbf gamma=1 C=0.0001	dims=25 task=gender kernel=rbf gamma=1 C=0.001	dims=25 task=gender kernel=rbf gamma=1 C=1	dims=25 task=gender kernel=rbf gamma=1 C=1000.0	dims=25 task=gender kernel=rbf gamma=1 C=10000.0	dims=25 task=gender kernel=rbf gamma=1 C=100000.0	dims=25 task=gender kernel=rbf gamma=1 C=1e-05	dims=25 task=gender kernel=rbf gamma=1000.0 C=0.0001	dims=25 task=gender kernel=rbf gamma=1000.0 C=0.001	dims=25 task=gender kernel=rbf gamma=1000.0 C=1	dims=25 task=gender kernel=rbf gamma=1000.0 C=1000.0	dims=25 task=gender kernel=rbf gamma=1000.0 C=10000.0	dims=25 task=gender kernel=rbf gamma=1000.0 C=100000.0	dims=25 task=gender kernel=rbf gamma=1000.0 C=1e-05	dims=25 task=gender kernel=rbf gamma=10000.0 C=0.0001	dims=25 task=gender kernel=rbf gamma=10000.0 C=0.001	dims=25 task=gender kernel=rbf gamma=10000.0 C=1	dims=25 task=gender kernel=rbf gamma=10000.0 C=1000.0	dims=25 task=gender kernel=rbf gamma=10000.0 C=10000.0	dims=25 task=gender kernel=rbf gamma=10000.0 C=100000.0	dims=25 task=gender kernel=rbf gamma=10000.0 C=1e-05	dims=25 task=gender kernel=rbf gamma=100000.0 C=0.0001	dims=25 task=gender kernel=rbf gamma=100000.0 C=0.001	dims=25 task=gender kernel=rbf gamma=100000.0 C=1	dims=25 task=gender kernel=rbf gamma=100000.0 C=1000.0	dims=25 task=gender kernel=rbf gamma=100000.0 C=10000.0	dims=25 task=gender kernel=rbf gamma=100000.0 C=100000.0	dims=25 task=gender kernel=rbf gamma=100000.0 C=1e-05	dims=25 task=gender kernel=rbf gamma=1e-05 C=0.0001	dims=25 task=gender kernel=rbf gamma=1e-05 C=0.001	dims=25 task=gender kernel=rbf gamma=1e-05 C=1	dims=25 task=gender kernel=rbf gamma=1e-05 C=1000.0	dims=25 task=gender kernel=rbf gamma=1e-05 C=10000.0	dims=25 task=gender kernel=rbf gamma=1e-05 C=100000.0	dims=25 task=gender kernel=rbf gamma=1e-05 C=1e-05
dims=25 task=gender kernel=rbf gamma=0.0001 C=0.0001																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.0001 C=0.001																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.0001 C=1																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.0001 C=1000.0																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.0001 C=10000.0																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.0001 C=100000.0																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.0001 C=1e-05																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.001 C=0.0001																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.001 C=0.001																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.001 C=1																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
dims=25 task=gender kernel=rbf gamma=0.001 C=1000.0																		0.0283655056052	0.00149887333715	0.0019397281129					0.0126111440993	0.0126111440993	0.0126111440993		0.014019277114	0.014019277114	0.0172574560831	0.00728455700948	0.00728455700948	0.00728455700948	0.014019277114														
